target,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
4,zink london,solid polyester scoop neck womens bodycon dress - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1120,1499,40% off,Westernwear-Women
5,rare,floral polyester v neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large",1112,944,55% off,Westernwear-Women
6,fratini,solid round neck viscose womens regular dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",1104,749,50% off,Westernwear-Women
7,iti,solid georgette collar neck womens top - olive,"Size:Small,X-Small",1095,399,73% off,Westernwear-Women
8,rare,solid comfort fit polyester womens casual wear trouse  - black,"Size:Large,Medium,Small,X-Large",1087,719,55% off,Westernwear-Women
9,levis,graphic cotton round neck womens t-shirt - brown,"Size:Large,Medium,Small,X-Small",1079,1199,Nan,Westernwear-Women
10,cover story,regular fit polyester womens casual trouse  - pink,"Size:26,28,30,32,34",1071,1813,30% off,Westernwear-Women
11,zink london,printed v neck polyester womens a-line dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1062,1149,50% off,Westernwear-Women
12,and,polka dots boat neck viscose womens regular dresses - pink,"Size:8,10,12,14,16,18",1054,2319,20% off,Westernwear-Women
13,van heusen,solid cotton v neck womens formal shirt - green,"Size:Large,Medium,Small",1046,799,60% off,Westernwear-Women
14,life,printed cotton lycra round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",1038,349,50% off,Westernwear-Women
15,life,solid cotton blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large",1029,449,50% off,Westernwear-Women
16,faballey,printed georgette round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1021,2240,20% off,Westernwear-Women
17,levis,tapered fit regular length cotton womens jeans - dk indigo,"Size:26,28,30,32,34",1013,3799,Nan,Westernwear-Women
18,rare,floral polyester v neck womens flared dress - natural,"Size:Large,Medium,Small",1004,944,55% off,Westernwear-Women
19,rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",996,799,60% off,Westernwear-Women
20,rare,solid georgette round neck womens top - maroon,"Size:Large,Small,X-Large",988,559,60% off,Westernwear-Women
21,stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",980,499,50% off,Westernwear-Women
22,Nan,Nan,Nan,971,Nan,Nan,Westernwear-Women
23,fratini,printed viscose collar neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",963,799,50% off,Westernwear-Women
24,life,solid cotton lycra round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",955,349,50% off,Westernwear-Women
25,life,printed je ey round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",947,299,50% off,Westernwear-Women
0,only,checks cotton womens top - white,"Size:34,36,38,40,42",938,1399,30% off,Westernwear-Women
1,life,regular fit regular length cotton lycra womens jeans - white,"Size:26,28,30,32,34,36",930,649,50% off,Westernwear-Women
2,van heusen,solid polyester collar neck womens top - black,"Size:Small,X-Small",922,999,41% off,Westernwear-Women
3,fratini,solid polyester round neck womens a-line dress - aubergine,"Size:Large,Medium,Small,X-Large,XX-Large",913,799,50% off,Westernwear-Women
4,life,printed cotton lycra round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",905,349,50% off,Westernwear-Women
5,fratini,solid round neck viscose womens regular dress - tan,"Size:Large,Medium,Small,X-Large,XX-Large",897,749,50% off,Westernwear-Women
6,kraus,super skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38",889,1396,30% off,Westernwear-Women
7,life,checks cotton blend collar neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",880,649,50% off,Westernwear-Women
8,life,embroidered cotton blend round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",872,649,50% off,Westernwear-Women
9,rare,solid polyester blend boat neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",864,764,55% off,Westernwear-Women
10,and,solid polyester square neck womens flared dress - sage,"Size:10,12,14,16,18",856,2159,20% off,Westernwear-Women
11,life,solid cotton blend round neck womens t-shirt - natural,"Size:Large,Medium,X-Large,X-Small",847,449,50% off,Westernwear-Women
12,kraus,wide leg fit ankle length cotton womens jeans - blue,"Size:28,30,32",839,1525,10% off,Westernwear-Women
13,life,printed je ey round neck womens t-shirt - red,"Size:Large,Medium,Small,X-Small",831,349,50% off,Westernwear-Women
14,fratini,sanya malhotra regular fit regular length cotton linen womens culottes - olive,"Size:26,28,30,32,34,36",822,1299,Nan,Westernwear-Women
15,fratini,solid square neck polyester womens woven top - natural,"Size:Large,Medium,X-Large,XX-Large",814,499,50% off,Westernwear-Women
16,fratini,solid v-neck tencel womens a-line dress - light blue,"Size:Large,Small",806,849,50% off,Westernwear-Women
17,zink london,printed cotton round neck womens t-shirt - brown,Size:X-Large,798,399,69% off,Westernwear-Women
18,life,regular fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32",789,499,50% off,Westernwear-Women
19,zink london,textured polyester round neck womens straight top - natural,"Size:Large,Small,X-Small",781,839,40% off,Westernwear-Women
20,allen solly,printed stylized polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large",773,1499,40% off,Westernwear-Women
21,stop,solid polyester regular neck womens top - sage,"Size:Large,Medium,Small,X-Large,XX-Large",765,649,50% off,Westernwear-Women
22,Nan,Nan,Nan,756,Nan,Nan,Westernwear-Women
23,only,lace cotton collar neck womens top - red,"Size:34,36,38,40,42",748,1499,40% off,Westernwear-Women
24,fratini,regular fit regular length cotton blend womens jeans - white,"Size:28,30,32,34,36",740,649,50% off,Westernwear-Women
25,fratini,printed square neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",732,849,50% off,Westernwear-Women
0,van heusen,solid polyester v neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",723,999,41% off,Westernwear-Women
1,only,self design viscose square neck womens top - white,"Size:34,36,38,40,42",715,1379,40% off,Westernwear-Women
2,life,printed blended round neck womens shift dress - navy,"Size:Large,Medium,Small,X-Large,X-Small",707,749,50% off,Westernwear-Women
3,zink london,solid collar neck polyester womens casual shirt - green,"Size:Medium,Small,XX-Large",698,849,50% off,Westernwear-Women
4,life,printed cotton lycra round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,X-Small",690,349,50% off,Westernwear-Women
5,faballey,embroidered cotton square neck womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",682,2080,20% off,Westernwear-Women
6,life,printed cotton blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",674,499,50% off,Westernwear-Women
7,infuse,floral rayon v neck womens strappy dress - pista green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",665,749,50% off,Westernwear-Women
8,kraus,baggy fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34",657,1116,30% off,Westernwear-Women
9,life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",649,349,50% off,Westernwear-Women
10,fratini,solid polyester blend round neck womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",641,949,50% off,Westernwear-Women
11,madame,solid polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",632,1189,30% off,Westernwear-Women
12,kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"Size:28,30,32,34,36,38",624,947,50% off,Westernwear-Women
13,kraus,skinny fit full length cotton blend womens jeans - navy,"Size:28,30,32,36",616,947,50% off,Westernwear-Women
14,stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",607,449,50% off,Westernwear-Women
15,life,regular fit regular length denim womens jeans - pink,"Size:26,28,30,32,34,36",599,999,50% off,Westernwear-Women
16,zink london,printed cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Small,XX-Large",591,1739,40% off,Westernwear-Women
17,life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",583,499,50% off,Westernwear-Women
18,stop,solid regular neck cotton blend womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",574,449,50% off,Westernwear-Women
19,altlife,solid polyester blend ankle length womens tights - misty lilac,"Size:28,30,32,34,36",566,649,50% off,Westernwear-Women
20,life,solid cotton wide neck womens a-line dress - powder blue,"Size:Large,Medium,Small,X-Large,X-Small",558,849,50% off,Westernwear-Women
21,allen solly,printed v-neck viscose womens fit and flare dress - black,"Size:Large,Medium,Small,X-Large,X-Small",550,1499,40% off,Westernwear-Women
22,Nan,Nan,Nan,541,Nan,Nan,Westernwear-Women
23,stop,solid regular fit polyester womens formal pants - black,"Size:28,30,34,36",533,849,50% off,Westernwear-Women
24,and,solid polyester v neck womens regular dress - wine,"Size:8,18",525,2319,20% off,Westernwear-Women
25,rare,floral polyester off shoulder womens regular top - blue,"Size:Large,Small",516,499,50% off,Westernwear-Women
0,zink london,stripes cotton round neck womens straight top - multi,"Size:Large,Medium,Small,X-Large,X-Small",508,699,50% off,Westernwear-Women
1,life,fit above knee denim womens casual skirt - black,"Size:26,28,30,32,34,36",500,649,50% off,Westernwear-Women
2,fratini,printed polyester round neck womens a-line dress - yellow,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",492,999,50% off,Westernwear-Women
3,rare,floral polyester round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",483,899,55% off,Westernwear-Women
4,latin quarte ,solid polyester womens regular blouse - wine,"Size:S,M,L,XL",475,949,50% off,Westernwear-Women
5,fratini,printed polyester blend round neck womens regular top - yellow,"Size:Medium,Small",467,499,50% off,Westernwear-Women
6,zink london,embroidered viscose mandarin womens top - blue,"Size:Large,Medium,Small,X-Small,XX-Large",459,1319,40% off,Westernwear-Women
7,stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Size:Large,Small,X-Large,XX-Large",450,499,50% off,Westernwear-Women
8,rare,half sleeves regular fit womens casual dress - navy,"Size:Large,Medium,Small,X-Large",442,899,55% off,Westernwear-Women
9,latin quarte ,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",434,1959,30% off,Westernwear-Women
10,zink london,solid polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",425,899,40% off,Westernwear-Women
11,stop,solid collar neck cotton blend womens regular top - peach,"Size:Large,X-Large,XX-Large",417,499,50% off,Westernwear-Women
12,cover story,solid viscose collar neck womens top - peach,"Size:Small,X-Small",409,1603,30% off,Westernwear-Women
13,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",401,399,50% off,Westernwear-Women
14,zink london,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",392,479,40% off,Westernwear-Women
15,zink london,floral rayon collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",384,799,50% off,Westernwear-Women
16,rare,floral georgette round neck womens flared dress - grey,"Size:Large,Medium,Small",376,854,55% off,Westernwear-Women
17,van heusen,super slim fit regular cotton womens jeans - navy,"Size:28,32,34",368,999,55% off,Westernwear-Women
18,life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",359,349,50% off,Westernwear-Women
19,rare,solid polyester blend round neck womens a-line dress - black,"Size:Small,X-Large",351,764,55% off,Westernwear-Women
20,life,striped cotton blend collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",343,399,50% off,Westernwear-Women
21,van heusen,textured polyester blend regular fit womens trouse  - maroon,"Size:26,34",335,999,55% off,Westernwear-Women
22,Nan,Nan,Nan,326,Nan,Nan,Westernwear-Women
23,madame,solid cotton round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large",318,599,50% off,Westernwear-Women
24,fratini,printed viscose blend round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,XX-Large",310,799,Nan,Westernwear-Women
25,life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",301,649,50% off,Westernwear-Women
0,van heusen,solid polyester collar neck womens formal shirt - off white,Size:X-Small,293,999,41% off,Westernwear-Women
1,rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",285,584,55% off,Westernwear-Women
2,life,solid polyester blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",277,499,50% off,Westernwear-Women
3,only,stripes polyester round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",268,1079,40% off,Westernwear-Women
4,infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",260,199,60% off,Westernwear-Women
5,and,solid boat neck polyester womens straight dresses - multi,"Size:6,8,10,12,14,16",252,1999,20% off,Westernwear-Women
6,rare,stripes polyester round neck womens regular top - navy,"Size:Large,Medium,Small,X-Large",244,539,55% off,Westernwear-Women
7,life,solid polyester blend round neck womens t-shirt - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small",235,499,50% off,Westernwear-Women
8,van heusen,solid polyester blend regular fit womens trouse  - pink,Size:26,227,799,47% off,Westernwear-Women
9,zink london,solid polyester round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",219,959,40% off,Westernwear-Women
10,fratini,printed v-neck viscose womens woven top - pink,"Size:Small,XX-Large",210,499,50% off,Westernwear-Women
11,life,regular fit regular length denim womens jeans - charcoal,"Size:26,28,30,32,34,36",202,999,50% off,Westernwear-Women
12,fratini,solid square neck polyester womens woven top - olive,"Size:Large,Medium,X-Large,XX-Large",194,499,50% off,Westernwear-Women
13,kraus,wide leg fit ankle length cotton womens jeans - dark blue,"Size:28,30,32,34,36",186,1256,30% off,Westernwear-Women
14,madame,solid cotton round neck womens regular top - mauve,"Size:Large,Medium,X-Large",177,899,40% off,Westernwear-Women
15,life,printed viscose collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",169,449,50% off,Westernwear-Women
16,stop,solid nr roma regular neck womens regular dress - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",161,1999,Nan,Westernwear-Women
17,life,printed je ey round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",153,349,50% off,Westernwear-Women
18,life,regular fit regular length cotton blend womens jogge  - blue,"Size:26,28,30,32,34,36",144,649,50% off,Westernwear-Women
19,kraus,baggy fit ankle length cotton womens jeans - blue,"Size:28,30,32,34",136,847,50% off,Westernwear-Women
20,zink london,printed polyester boat neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",128,1079,40% off,Westernwear-Women
21,latin quarte ,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",119,2699,Nan,Westernwear-Women
22,Nan,Nan,Nan,111,Nan,Nan,Westernwear-Women
23,life,embroidered viscose blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",103,449,50% off,Westernwear-Women
24,fratini,solid cotton blend round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",95,699,Nan,Westernwear-Women
25,fratini,printed viscose collar neck womens a-line dress - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",86,799,50% off,Westernwear-Women
0,faballey,floral georgette round neck womens dress - blue,"Size:Small,X-Small",78,1920,20% off,Westernwear-Women
1,rare,solid polyester choker neck womens regular top - black,"Size:Large,Medium,Small,X-Large",70,584,55% off,Westernwear-Women
2,stop,solid regular neck cotton stretch womens formal shirt - white,"Size:Large,X-Large,X-Small,XX-Large",62,999,Nan,Westernwear-Women
3,rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",53,559,60% off,Westernwear-Women
4,life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34",45,499,50% off,Westernwear-Women
5,zink london,solid cotton round neck womens top - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",37,1139,40% off,Westernwear-Women
6,zink london,checks round neck cotton womens a-line dress - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",28,1399,50% off,Westernwear-Women
7,stop,solid regular neck cotton blend womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",20,449,50% off,Westernwear-Women
8,only,solid viscose womens cropped top - pink,"Size:Large,Medium,Small,X-Large,X-Small",12,1079,40% off,Westernwear-Women
9,life,printed viscose wide neck womens a-line dress - sage,"Size:Large,Medium,Small,X-Large,X-Small",4,749,50% off,Westernwear-Women
10,life,embroidered blended round neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",-5,599,50% off,Westernwear-Women
11,latin quarte ,printed v neck polyester womens regular fit dresses - peach,"Size:S,M,L,XL",-13,1889,30% off,Westernwear-Women
12,rare,solid polyester mandarin womens regular top - green,"Size:Medium,Small",-21,519,60% off,Westernwear-Women
13,latin quarte ,dyed rayon blend womens casual wear shrug - peach,"Size:S,M,L,XL,XX-Large",-29,699,50% off,Westernwear-Women
14,life,solid denim collar neck womens denim jacket - mid stone,"Size:Large,Medium,Small,X-Large,X-Small",-38,949,50% off,Westernwear-Women
15,rare,solid crepe tie up neck�womens regular top - grey,"Size:Large,Medium",-46,559,60% off,Westernwear-Women
16,zink london,floral polyester round neck womens short dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-54,1319,40% off,Westernwear-Women
17,rare,solid crepe round neck womens regular top - maroon,Size:Small,-63,549,50% off,Westernwear-Women
18,allen solly,printed round neck rayon womens fit and flare dress - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-71,1499,40% off,Westernwear-Women
19,life,regular fit regular length cotton lycra womens jeans - dk indigo,"Size:26,28,30,32,36",-79,499,50% off,Westernwear-Women
20,rare,solid crepe round neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",-87,499,50% off,Westernwear-Women
21,latin quarte ,printed polyester womens regular dress - yellow,"Size:S,M,L,XL",-96,2799,Nan,Westernwear-Women
22,Nan,Nan,Nan,-104,Nan,Nan,Westernwear-Women
23,rare,floral crepe round neck womens flared dress - cream,"Size:Large,Small,X-Large",-112,719,55% off,Westernwear-Women
24,life,womens viscose collar checks shirts - orange,"Size:Small,X-Small",-120,449,50% off,Westernwear-Women
25,rare,solid modal round neck womens regular top - mustard,Size:X-Large,-129,599,60% off,Westernwear-Women
0,van heusen,textured polyester round neck womens jacket - navy,"Size:Large,Medium,Small,X-Large,X-Small",-137,1499,57% off,Westernwear-Women
1,life,printed je ey round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",-145,349,50% off,Westernwear-Women
2,rare,solid polyester boat neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",-153,599,60% off,Westernwear-Women
3,life,solid viscose blend round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",-162,349,50% off,Westernwear-Women
4,stop,printed regular neck chambray womens formal shirt - blue,"Size:Large,Medium,Small,X-Large,XX-Large",-170,449,50% off,Westernwear-Women
5,madame,solid georgette square neck womens regular top - mint,"Size:Large,Medium,Small,X-Large,XX-Large",-178,849,50% off,Westernwear-Women
6,rare,floral georgette round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",-187,854,55% off,Westernwear-Women
7,rare,solid polyester blend sweetheart neck womens bodycon dress - green,"Size:Large,Medium,X-Large",-195,1079,55% off,Westernwear-Women
8,and,floral polyester v neck womens straight top - powder blue,"Size:8,10,12,14,16,18",-203,2099,Nan,Westernwear-Women
9,zink london,textured polyester boat neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",-211,1619,40% off,Westernwear-Women
10,latin quarte ,solid polyester womens regular dress - purple,"Size:S,M,L,XL",-220,1199,50% off,Westernwear-Women
11,zink london,solid regular fit cotton womens trouse  - grey,"Size:Small,X-Large",-228,1139,40% off,Westernwear-Women
12,sera,womens regular fit solid tie up neck peplum top - red,"Size:Large,Small,X-Large",-236,359,70% off,Westernwear-Women
13,rare,solid comfort fit polyester womens casual wear trouse  - brown,"Size:Large,Medium,Small,X-Large",-244,854,55% off,Westernwear-Women
14,life,printed round neck polyester womens regular top - black,"Size:Large,Medium,Small,X-Large,X-Small",-253,599,50% off,Westernwear-Women
15,madame,floral print polyster womens dress - royal blue,"Size:Large,Medium,Small,X-Large,XX-Large",-261,1619,40% off,Westernwear-Women
16,fratini,sanya malhotra  stripes v neck viscose moss womens dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",-269,1899,Nan,Westernwear-Women
17,and,solid cotton collar neck womens top - rose,"Size:8,10,12,14,18",-278,899,50% off,Westernwear-Women
18,fratini,printed viscose v-neck womens regular top - black,"Size:Large,Medium,Small,XX-Large",-286,449,50% off,Westernwear-Women
19,adidas,striped regular fit blended womens sports tights - black,Size:X-Small,-294,899,50% off,Westernwear-Women
